Using a slow image processor as `use_fast` is unset and a slow processor was saved with this model. `use_fast=True` will be the default behavior in v4.52, even if the model was saved with a slow processor. This will result in minor differences in outputs. You'll still be able to use a slow processor with `use_fast=False`.
`torch_dtype` is deprecated! Use `dtype` instead!
Loading model from registry: spatialvla-4b (IPEC-COMMUNITY/spatialvla-4b-224-pt)
  Architecture: gemma2, Auto class: AutoModel
  Applied SpatialVLA monkey-patch: _validate_images_text_input_order
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:00<00:00,  5.53it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00,  4.62it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00,  4.74it/s]
  Loaded: 26L x 8H, hidden=2304, dtype=bfloat16
  Layers path: language_model.model.layers
Model loaded successfully.
  D0 [81/175] skill=place NLL=N/A top1=0.5904 H=2.869
  D0 [82/175] skill=fold NLL=N/A top1=0.3292 H=2.597
  D0 [83/175] skill=place NLL=N/A top1=0.1308 H=4.136
  D0 [84/175] skill=close NLL=N/A top1=0.4272 H=2.432
  D0 [85/175] skill=turn NLL=N/A top1=0.2360 H=6.178
  D0 [86/175] skill=place NLL=N/A top1=0.3548 H=2.875
  D0 [87/175] skill=place NLL=N/A top1=0.3337 H=3.251
  D0 [88/175] skill=pick NLL=N/A top1=0.2524 H=2.421
  D0 [89/175] skill=place NLL=N/A top1=0.0783 H=5.422
  D0 [90/175] skill=open NLL=N/A top1=0.7146 H=1.924
  D0 [91/175] skill=place NLL=N/A top1=0.1087 H=5.012
  D0 [92/175] skill=turn NLL=N/A top1=0.6137 H=2.297
  D0 [93/175] skill=close NLL=N/A top1=0.3452 H=2.225
  D0 [94/175] skill=move NLL=N/A top1=0.1799 H=3.159
  D0 [95/175] skill=close NLL=N/A top1=0.2113 H=5.722
  D0 [96/175] skill=open NLL=N/A top1=0.2971 H=4.683
  D0 [97/175] skill=pick NLL=N/A top1=0.3321 H=2.511
  D0 [98/175] skill=place NLL=N/A top1=0.9446 H=0.378
  D0 [99/175] skill=move NLL=N/A top1=0.2052 H=3.654
  D0 [100/175] skill=open NLL=N/A top1=0.1958 H=4.261
  D0 [101/175] skill=open NLL=N/A top1=0.8417 H=0.973
  D0 [102/175] skill=close NLL=N/A top1=0.5171 H=2.422
  D0 [103/175] skill=fold NLL=N/A top1=0.3648 H=4.128
  D0 [104/175] skill=fold NLL=N/A top1=0.2718 H=4.145
  D0 [105/175] skill=pick NLL=N/A top1=0.3868 H=3.280
  D0 [106/175] skill=turn NLL=N/A top1=0.6915 H=1.853
  D0 [107/175] skill=move NLL=N/A top1=0.1131 H=4.501
  D0 [108/175] skill=place NLL=N/A top1=0.9072 H=0.657
  D0 [109/175] skill=fold NLL=N/A top1=0.1790 H=3.537
  D0 [110/175] skill=fold NLL=N/A top1=0.6734 H=2.134
  D0 [111/175] skill=turn NLL=N/A top1=0.1916 H=5.875
  D0 [112/175] skill=move NLL=N/A top1=0.2194 H=3.504
  D0 [113/175] skill=move NLL=N/A top1=0.7791 H=1.467
  D0 [114/175] skill=move NLL=N/A top1=0.2622 H=3.193
  D0 [115/175] skill=fold NLL=N/A top1=0.2188 H=4.937
  D0 [116/175] skill=place NLL=N/A top1=0.2683 H=4.997
  D0 [117/175] skill=move NLL=N/A top1=0.8301 H=1.125
  D0 [118/175] skill=pick NLL=N/A top1=0.3691 H=3.580
  D0 [119/175] skill=open NLL=N/A top1=0.5332 H=2.283
  D0 [120/175] skill=move NLL=N/A top1=0.8843 H=0.551
  D0 [121/175] skill=move NLL=N/A top1=0.6753 H=1.468
  D0 [122/175] skill=move NLL=N/A top1=0.3854 H=3.769
  D0 [123/175] skill=open NLL=N/A top1=0.4720 H=2.897
  D0 [124/175] skill=fold NLL=N/A top1=0.1207 H=5.218
  D0 [125/175] skill=pick NLL=N/A top1=0.2261 H=4.146
  D0 [126/175] skill=close NLL=N/A top1=0.1046 H=5.374
  D0 [127/175] skill=pick NLL=N/A top1=0.8088 H=1.285
  D0 [128/175] skill=turn NLL=N/A top1=0.0650 H=7.322
  D0 [129/175] skill=move NLL=N/A top1=0.1776 H=3.459
  D0 [130/175] skill=close NLL=N/A top1=0.1706 H=4.743
  D0 [131/175] skill=turn NLL=N/A top1=0.7152 H=0.777
  D0 [132/175] skill=pick NLL=N/A top1=0.1542 H=4.206
  D0 [133/175] skill=pick NLL=N/A top1=0.3687 H=4.728
  D0 [134/175] skill=turn NLL=N/A top1=0.0612 H=5.820
  D0 [135/175] skill=move NLL=N/A top1=0.5335 H=1.125
  D0 [136/175] skill=pick NLL=N/A top1=0.4286 H=2.807
  D0 [137/175] skill=turn NLL=N/A top1=0.9648 H=0.297
  D0 [138/175] skill=fold NLL=N/A top1=0.3269 H=3.617
  D0 [139/175] skill=turn NLL=N/A top1=0.4113 H=2.421
  D0 [140/175] skill=pick NLL=N/A top1=0.5914 H=1.666
  D0 [141/175] skill=close NLL=N/A top1=0.2492 H=3.807
  D0 [142/175] skill=open NLL=N/A top1=0.5468 H=1.362
  D0 [143/175] skill=close NLL=N/A top1=0.1585 H=4.730
  D0 [144/175] skill=fold NLL=N/A top1=0.2059 H=3.590
  D0 [145/175] skill=move NLL=N/A top1=0.6193 H=1.998
  D0 [146/175] skill=pick NLL=N/A top1=0.2247 H=4.247
  D0 [147/175] skill=open NLL=N/A top1=0.3626 H=3.986
  D0 [148/175] skill=move NLL=N/A top1=0.8145 H=0.889
  D0 [149/175] skill=fold NLL=N/A top1=0.4220 H=3.670
  D0 [150/175] skill=close NLL=N/A top1=0.0702 H=6.792
  D0 [151/175] skill=pick NLL=N/A top1=0.2446 H=3.490
  D0 [152/175] skill=turn NLL=N/A top1=0.0398 H=7.938
  D0 [153/175] skill=pick NLL=N/A top1=0.8471 H=0.965
  D0 [154/175] skill=move NLL=N/A top1=0.4885 H=2.485
  D0 [155/175] skill=open NLL=N/A top1=0.3321 H=3.947
  D0 [156/175] skill=close NLL=N/A top1=0.1105 H=4.132
  D0 [157/175] skill=turn NLL=N/A top1=0.6444 H=2.512
  D0 [158/175] skill=pick NLL=N/A top1=0.2262 H=3.571
